Year,Burundi,Djibouti,Eritrea,Ethiopia,Kenya,Rwanda,Seychelles,Somalia,South Sudan,Sudan,Tanzania,Uganda,Cameroon,Central African Republic,Chad,"Congo, Republic of the (Brazzaville)","Congo, Dem. Rep. of the (Kinshasa)",Equatorial Guinea,Gabon,São Tomé & Príncipe,Angola,Botswana,Comoros,Eswatini,Lesotho,Madagascar,Malawi,Mauritius,Mozambique,Namibia,Reunion,South Africa,Zambia,Zimbabwe,Benin,Burkina Faso,Cabo Verde,Côte d’Ivoire,"Gambia, The",Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Saint Helena,Senegal,Sierra Leone,Togo,China,Hong Kong,Japan,Macau,Mongolia,North Korea,South Korea,Taiwan,Afghanistan,Bangladesh,Bhutan,India,Kazakhstan,Kyrgyzstan,Maldives,Nepal,Pakistan,Sri Lanka,Tajikistan,Turkmenistan,Uzbekistan,Brunei,Burma,Cambodia,Indonesia,Laos,Malaysia,Philippines,Singapore,Thailand,Timor-Leste,Vietnam,Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,"Czechoslovakia, Former",Denmark,Estonia,Finland,France,Georgia,Germany,Gibraltar,Greece,Holy See,Hungary,Iceland,Ireland,Italy,Kosovo,Latvia,Liechtenstein,Lithuania,Luxembourg,North Macedonia,Malta,Moldova,Monaco,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Serbia & Montenegro,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,"U.S.S.R., Former",Ukraine,United Kingdom,"Yugoslavia, Former",Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,Bermuda,British Virgin Islands,Cayman Islands,Cuba,Curacao,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Netherlands Antilles,St. Kitts and Nevis,St. Lucia,St. Vincent and the Grenadines,Sint Maarten,Trinidad and Tobago,Turks and Caicos,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Falkland Islands/Islas Malvinas,French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela,Bahrain,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Palestinian Territories,Qatar,Saudi Arabia,Syria,United Arab Emirates,Yemen,Algeria,Egypt,Libya,Morocco,Tunisia,Western Sahara,Canada,Australia,Cook Islands,Fiji,French Polynesia,Kiribati,"Marshall Islands, Republic of the","Micronesia, Federate States of ",Nauru,New Caledonia,New Zealand,Niue,Norfolk Island,Palau,Papua New Guinea,Samoa,Solomon Islands,Tonga,Tuvalu,Vanuatu,Wallis and Futuna
1949/50,0.00,0.00,0.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,61.00,0.00,0.00,81.00,0.00,0.00,0.00,176.00,0.00,0.00,42.00,0.00,0.00,0.00,265.00,0.00,0.00,0.00,258.00,3637.00,48.00,0.00,0.00,1359.00,0.00,0.00,0.00,0.00,102.00,13.00,0.00,0.00,0.00,0.00,84.00,0.00,36.00,0.00,116.00,701.00,0.00,187.00,0.00,0.00,3.00,0.00,0.00,145.00,0.00,0.00,136.00,0.00,16.00,0.00,53.00,0.00,185.00,128.00,35.00,112.00,506.00,0.00,671.00,0.00,461.00,0.00,139.00,53.00,56.00,259.00,0.00,44.00,0.00,46.00,3.00,0.00,0.00,0.00,0.00,0.00,314.00,515.00,261.00,75.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,132.00,158.00,173.00,483.00,30.00,0.00,829.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,749.00,0.00,0.00,68.00,0.00,0.00,81.00,290.00,14.00,0.00,50.00,0.00,0.00,0.00,0.00,189.00,0.00,0.00,202.00,105.00,221.00,103.00,825.00,127.00,377.00,183.00,148.00,423.00,148.00,582.00,105.00,0.00,0.00,134.00,14.00,252.00,0.00,35.00,446.00,0.00,570.00,499.00,251.00,17.00,0.00,113.00,0.00,160.00,0.00,18.00,96.00,0.00,0.00,8.00,349.00,0.00,7.00,0.00,0.00,4362.00,149.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954/55,0.00,0.00,0.00,62.00,19.00,0.00,0.00,2.00,0.00,7.00,5.00,4.00,1.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,2.00,3.00,0.00,157.00,1.00,14.00,0.00,0.00,0.00,0.00,0.00,84.00,0.00,0.00,188.00,0.00,0.00,0.00,268.00,0.00,27.00,0.00,1.00,0.00,0.00,1673.00,0.00,0.00,0.00,1197.00,2553.00,82.00,0.00,0.00,1673.00,0.00,0.00,0.00,4.00,255.00,34.00,0.00,0.00,0.00,0.00,188.00,2.00,153.00,2.00,196.00,1476.00,0.00,586.00,0.00,101.00,2.00,0.00,0.00,149.00,0.00,0.00,99.00,0.00,2.00,0.00,47.00,0.00,8.00,150.00,12.00,130.00,472.00,0.00,762.00,0.00,881.00,0.00,11.00,49.00,59.00,312.00,0.00,9.00,2.00,0.00,11.00,0.00,5.00,0.00,0.00,0.00,375.00,328.00,19.00,55.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,204.00,162.00,175.00,396.00,9.00,0.00,710.00,41.00,0.00,0.00,0.00,55.00,15.00,59.00,0.00,0.00,717.00,0.00,0.00,74.00,0.00,0.00,110.00,528.00,0.00,0.00,53.00,0.00,0.00,0.00,0.00,126.00,0.00,24.00,159.00,266.00,250.00,187.00,1247.00,215.00,449.00,228.00,157.00,507.00,171.00,1301.00,166.00,0.00,0.00,142.00,34.00,276.00,12.00,35.00,882.00,1.00,997.00,650.00,790.00,607.00,0.00,261.00,0.00,0.00,0.00,40.00,280.00,0.00,10.00,1.00,351.00,4.00,15.00,1.00,0.00,4655.00,238.00,0.00,11.00,3.00,0.00,0.00,0.00,0.00,1.00,63.00,0.00,0.00,0.00,0.00,5.00,0.00,1.00,0.00,0.00,0.00
1959/60,0.00,0.00,0.00,170.00,156.00,0.00,0.00,11.00,0.00,53.00,38.00,29.00,9.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,1.00,2.00,10.00,2.00,14.00,0.00,181.00,9.00,16.00,0.00,0.00,0.00,0.00,0.00,167.00,0.00,0.00,170.00,0.00,0.00,0.00,258.00,0.00,0.00,39.00,1.00,0.00,0.00,2248.00,0.00,0.00,0.00,2474.00,4546.00,99.00,0.00,0.00,3780.00,0.00,0.00,0.00,34.00,534.00,73.00,0.00,0.00,0.00,0.00,227.00,36.00,531.00,9.00,247.00,1722.00,0.00,1006.00,0.00,242.00,1.00,0.00,0.00,102.00,0.00,0.00,117.00,0.00,1.00,0.00,63.00,0.00,7.00,121.00,2.00,118.00,572.00,0.00,720.00,0.00,1095.00,0.00,53.00,55.00,109.00,443.00,0.00,3.00,2.00,4.00,8.00,0.00,11.00,0.00,1.00,0.00,395.00,430.00,78.00,129.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,288.00,219.00,171.00,835.00,30.00,0.00,993.00,110.00,0.00,0.00,0.00,84.00,60.00,82.00,15.00,0.00,935.00,0.00,0.00,86.00,0.00,0.00,113.00,902.00,2.00,0.00,40.00,0.00,0.00,0.00,0.00,255.00,0.00,33.00,201.00,217.00,242.00,151.00,1356.00,190.00,544.00,293.00,155.00,473.00,251.00,687.00,210.00,0.00,1.00,201.00,52.00,418.00,6.00,39.00,1126.00,3.00,2507.00,675.00,807.00,556.00,49.00,590.00,2.00,0.00,0.00,93.00,283.00,0.00,14.00,7.00,490.00,27.00,59.00,30.00,0.00,5679.00,367.00,1.00,21.00,6.00,0.00,0.00,0.00,0.00,0.00,119.00,0.00,0.00,0.00,0.00,9.00,0.00,7.00,0.00,0.00,0.00
1964/65,6.00,0.00,0.00,266.00,774.00,2.00,2.00,102.00,0.00,180.00,305.00,223.00,94.00,0.00,2.00,15.00,94.00,1.00,3.00,0.00,26.00,3.00,0.00,7.00,12.00,22.00,83.00,9.00,19.00,6.00,0.00,390.00,83.00,203.00,8.00,4.00,0.00,17.00,13.00,282.00,99.00,0.00,315.00,8.00,0.00,2.00,1382.00,0.00,0.00,149.00,39.00,5.00,3279.00,3534.00,20.00,0.00,0.00,2604.00,4620.00,159.00,0.00,1.00,6814.00,0.00,0.00,0.00,84.00,1081.00,96.00,0.00,0.00,0.00,4.00,130.00,209.00,766.00,36.00,536.00,2473.00,0.00,1630.00,0.00,399.00,0.00,0.00,0.00,162.00,0.00,0.00,231.00,0.00,11.00,0.00,145.00,0.00,21.00,174.00,6.00,185.00,833.00,0.00,1504.00,0.00,1543.00,0.00,82.00,53.00,238.00,646.00,0.00,19.00,0.00,7.00,7.00,0.00,9.00,0.00,1.00,0.00,465.00,418.00,159.00,140.00,28.00,0.00,1.00,0.00,0.00,0.00,0.00,422.00,280.00,275.00,1070.00,35.00,0.00,1959.00,194.00,0.00,0.00,0.00,112.00,106.00,85.00,35.00,0.00,1565.00,0.00,0.00,214.00,0.00,3.00,190.00,1183.00,9.00,0.00,77.00,0.00,0.00,0.00,0.00,594.00,0.00,58.00,266.00,220.00,226.00,193.00,1370.00,255.00,640.00,662.00,289.00,691.00,462.00,1196.00,390.00,0.00,0.00,378.00,62.00,766.00,18.00,85.00,1173.00,5.00,3719.00,919.00,1539.00,654.00,214.00,700.00,0.00,0.00,4.00,552.00,434.00,1.00,21.00,83.00,1279.00,74.00,85.00,75.00,0.00,9253.00,678.00,0.00,64.00,24.00,0.00,0.00,0.00,0.00,0.00,226.00,0.00,0.00,0.00,0.00,38.00,0.00,90.00,0.00,0.00,0.00
1969/70,6.00,0.00,0.00,540.00,492.00,1.00,5.00,80.00,0.00,135.00,215.00,257.00,125.00,5.00,10.00,30.00,91.00,0.00,3.00,0.00,21.00,22.00,0.00,25.00,13.00,7.00,65.00,18.00,33.00,18.00,0.00,457.00,47.00,193.00,4.00,7.00,0.00,30.00,44.00,539.00,21.00,0.00,337.00,7.00,1.00,7.00,1851.00,1.00,32.00,241.00,11.00,19.00,7202.00,4311.00,35.00,0.00,0.00,3991.00,8566.00,268.00,0.00,1.00,11329.00,0.00,0.00,0.00,109.00,1576.00,159.00,0.00,0.00,0.00,5.00,85.00,17.00,683.00,58.00,663.00,2782.00,343.00,4372.00,1.00,993.00,6.00,0.00,0.00,317.00,0.00,0.00,428.00,0.00,37.00,0.00,195.00,0.00,357.00,281.00,9.00,275.00,1977.00,0.00,2634.00,3.00,1811.00,0.00,145.00,73.00,516.00,1174.00,0.00,27.00,2.00,19.00,11.00,0.00,17.00,0.00,3.00,0.00,906.00,668.00,397.00,172.00,110.00,0.00,2.00,0.00,0.00,0.00,0.00,533.00,471.00,509.00,1309.00,51.00,0.00,4216.00,366.00,0.00,0.00,0.00,258.00,123.00,97.00,0.00,16.00,4487.00,0.00,0.00,802.00,0.00,12.00,563.00,1353.00,9.00,0.00,110.00,0.00,0.00,0.00,0.00,780.00,0.00,120.00,423.00,356.00,337.00,326.00,2501.00,453.00,868.00,1079.00,461.00,1349.00,906.00,2045.00,648.00,0.00,7.00,863.00,89.00,1307.00,11.00,148.00,1722.00,6.00,5175.00,512.00,2288.00,909.00,319.00,1020.00,0.00,0.00,17.00,1029.00,469.00,2.00,26.00,45.00,1015.00,286.00,83.00,114.00,0.00,13318.00,1077.00,1.00,66.00,48.00,0.00,0.00,0.00,0.00,0.00,385.00,0.00,0.00,0.00,4.00,76.00,0.00,93.00,0.00,0.00,0.00
1974/75,5.00,1.00,0.00,2050.00,870.00,4.00,2.00,39.00,0.00,350.00,350.00,240.00,250.00,16.00,2.00,6.00,110.00,1.00,1.00,0.00,10.00,18.00,0.00,32.00,19.00,9.00,58.00,21.00,12.00,7.00,1.00,510.00,80.00,260.00,6.00,3.00,1.00,190.00,100.00,1350.00,10.00,2.00,700.00,11.00,1.00,4.00,7210.00,0.00,21.00,930.00,13.00,22.00,11060.00,5930.00,49.00,1.00,5.00,3390.00,10250.00,290.00,480.00,3.00,9660.00,0.00,0.00,0.00,58.00,3140.00,230.00,0.00,0.00,0.00,8.00,51.00,120.00,1080.00,160.00,1580.00,2130.00,390.00,6250.00,2.00,2060.00,10.00,0.00,0.00,180.00,0.00,0.00,350.00,0.00,10.00,0.00,210.00,0.00,90.00,220.00,0.00,260.00,1610.00,0.00,1610.00,2.00,1880.00,1.00,47.00,100.00,370.00,720.00,0.00,0.00,0.00,0.00,15.00,0.00,9.00,0.00,2.00,0.00,620.00,490.00,260.00,220.00,110.00,0.00,0.00,0.00,0.00,0.00,0.00,580.00,420.00,440.00,1410.00,35.00,0.00,2770.00,310.00,0.00,49.00,0.00,690.00,170.00,200.00,23.00,3.00,1110.00,0.00,11.00,570.00,80.00,1.00,530.00,1790.00,4.00,4.00,100.00,32.00,10.00,24.00,0.00,1010.00,1.00,90.00,380.00,490.00,350.00,400.00,4000.00,670.00,882.00,560.00,510.00,1970.00,950.00,2380.00,690.00,0.00,2.00,900.00,90.00,1580.00,11.00,140.00,2680.00,18.00,13780.00,420.00,2390.00,1010.00,960.00,1580.00,11.00,0.00,120.00,1540.00,410.00,25.00,18.00,240.00,980.00,980.00,80.00,80.00,0.00,8430.00,950.00,2.00,36.00,24.00,0.00,0.00,0.00,0.00,0.00,310.00,1.00,0.00,0.00,3.00,21.00,0.00,40.00,0.00,0.00,0.00
1979/80,12.00,2.00,0.00,1340.00,1850.00,6.00,5.00,220.00,0.00,680.00,480.00,430.00,770.00,9.00,23.00,9.00,210.00,3.00,14.00,0.00,30.00,79.00,1.00,53.00,61.00,30.00,75.00,40.00,11.00,41.00,0.00,1170.00,270.00,740.00,5.00,22.00,34.00,310.00,180.00,1810.00,16.00,18.00,980.00,62.00,5.00,15.00,16360.00,0.00,61.00,740.00,19.00,1000.00,9900.00,12260.00,48.00,0.00,11.00,4890.00,17560.00,270.00,980.00,6.00,8760.00,0.00,0.00,1.00,180.00,2660.00,490.00,0.00,0.00,0.00,9.00,67.00,290.00,2440.00,410.00,3660.00,2890.00,1010.00,6500.00,4.00,5050.00,3.00,0.00,0.00,250.00,0.00,0.00,540.00,0.00,12.00,0.00,420.00,0.00,44.00,400.00,0.00,410.00,2250.00,0.00,3000.00,1.00,3000.00,1.00,42.00,240.00,490.00,1100.00,0.00,0.00,2.00,0.00,33.00,0.00,12.00,0.00,3.00,0.00,1100.00,930.00,390.00,400.00,74.00,0.00,0.00,0.00,0.00,0.00,0.00,830.00,850.00,860.00,2210.00,600.00,0.00,4280.00,350.00,0.00,93.00,0.00,1330.00,260.00,440.00,47.00,21.00,1130.00,0.00,23.00,640.00,84.00,3.00,540.00,2150.00,12.00,3.00,340.00,83.00,20.00,23.00,0.00,1030.00,2.00,107.00,670.00,1020.00,500.00,810.00,5650.00,1170.00,1200.00,910.00,870.00,2910.00,1190.00,3200.00,1000.00,0.00,8.00,850.00,80.00,1740.00,62.00,190.00,9860.00,260.00,51310.00,1220.00,2730.00,4720.00,2670.00,6040.00,170.00,0.00,630.00,9540.00,840.00,740.00,190.00,1560.00,1650.00,3030.00,220.00,68.00,0.00,15130.00,1560.00,0.00,57.00,32.00,0.00,0.00,0.00,0.00,1.00,410.00,0.00,0.00,0.00,9.00,0.00,1.00,37.00,0.00,0.00,0.00
1984/85,32.00,16.00,0.00,2120.00,1890.00,26.00,8.00,710.00,0.00,690.00,560.00,430.00,970.00,15.00,30.00,6.00,230.00,7.00,42.00,9.00,15.00,220.00,1.00,109.00,79.00,44.00,112.00,97.00,8.00,86.00,0.00,1610.00,450.00,510.00,19.00,37.00,52.00,300.00,190.00,1370.00,54.00,21.00,1060.00,81.00,23.00,38.00,18370.00,0.00,180.00,530.00,45.00,10100.00,10130.00,13160.00,102.00,0.00,71.00,16430.00,22590.00,138.00,2010.00,8.00,14620.00,0.00,0.00,8.00,320.00,4750.00,1480.00,0.00,0.00,0.00,36.00,190.00,270.00,7190.00,460.00,21720.00,3660.00,3750.00,7220.00,0.00,3220.00,1.00,2.00,0.00,370.00,0.00,0.00,740.00,0.00,14.00,0.00,2200.00,0.00,59.00,450.00,0.00,550.00,3390.00,0.00,4190.00,2.00,4870.00,1.00,90.00,550.00,910.00,1750.00,0.00,0.00,1.00,0.00,30.00,0.00,30.00,0.00,6.00,0.00,1500.00,1800.00,650.00,650.00,74.00,0.00,2.00,0.00,0.00,0.00,0.00,1520.00,1360.00,950.00,2640.00,230.00,0.00,6030.00,490.00,2.00,126.00,0.00,1520.00,350.00,590.00,56.00,37.00,1500.00,0.00,30.00,690.00,91.00,3.00,1400.00,2200.00,9.00,5.00,540.00,39.00,37.00,37.00,0.00,2070.00,14.00,135.00,660.00,1250.00,740.00,1280.00,5750.00,1150.00,1570.00,1240.00,1040.00,2790.00,1190.00,4060.00,1120.00,0.00,2.00,630.00,133.00,2070.00,172.00,220.00,10290.00,430.00,16640.00,1550.00,2480.00,6750.00,3980.00,6940.00,400.00,0.00,810.00,7760.00,2180.00,1270.00,544.00,780.00,2410.00,1200.00,770.00,640.00,0.00,15370.00,1560.00,6.00,104.00,29.00,1.00,0.00,0.00,2.00,0.00,540.00,0.00,0.00,0.00,18.00,126.00,6.00,110.00,0.00,2.00,0.00
1989/90,54.00,19.00,0.00,2020.00,2200.00,89.00,21.00,420.00,0.00,540.00,560.00,470.00,1240.00,22.00,15.00,39.00,380.00,16.00,22.00,16.00,34.00,230.00,14.00,157.00,115.00,70.00,300.00,152.00,27.00,152.00,1.00,2050.00,380.00,480.00,27.00,39.00,107.00,350.00,220.00,1030.00,45.00,11.00,610.00,117.00,43.00,49.00,4480.00,0.00,240.00,400.00,99.00,33390.00,11230.00,29840.00,140.00,2.00,31.00,21710.00,30960.00,220.00,2470.00,29.00,26240.00,0.00,0.00,3.00,610.00,7070.00,2210.00,0.00,0.00,0.00,15.00,340.00,145.00,9390.00,460.00,14110.00,4540.00,4440.00,6630.00,0.00,1850.00,1.00,6.00,0.00,580.00,0.00,0.00,920.00,0.00,75.00,0.00,1750.00,0.00,87.00,820.00,0.00,740.00,5340.00,0.00,6750.00,0.00,4430.00,1.00,440.00,820.00,1380.00,2370.00,0.00,0.00,3.00,0.00,41.00,0.00,45.00,0.00,9.00,0.00,1840.00,2160.00,1010.00,690.00,120.00,0.00,4.00,0.00,0.00,0.00,0.00,3640.00,1740.00,1240.00,3400.00,510.00,0.00,7100.00,1070.00,25.00,240.00,27.00,1640.00,450.00,720.00,106.00,69.00,980.00,0.00,82.00,960.00,174.00,10.00,1490.00,2850.00,14.00,20.00,730.00,134.00,83.00,68.00,0.00,2160.00,24.00,360.00,1060.00,1370.00,1030.00,1470.00,6540.00,2450.00,2260.00,1810.00,1060.00,3730.00,1100.00,3320.00,1170.00,0.00,3.00,510.00,230.00,2750.00,230.00,280.00,2740.00,310.00,7440.00,770.00,2910.00,5250.00,2280.00,4450.00,620.00,0.00,480.00,4110.00,1500.00,1450.00,610.00,480.00,1700.00,210.00,1140.00,660.00,0.00,17870.00,1740.00,2.00,158.00,95.00,25.00,10.00,0.00,0.00,7.00,610.00,1.00,0.00,71.00,16.00,128.00,1.00,116.00,1.00,1.00,0.00
1994/95,68.00,18.00,17.00,1325.00,2603.00,72.00,18.00,91.00,0.00,440.00,704.00,559.00,758.00,22.00,25.00,22.00,370.00,16.00,67.00,11.00,136.00,417.00,7.00,150.00,62.00,77.00,239.00,222.00,78.00,124.00,0.00,1919.00,354.00,687.00,72.00,36.00,65.00,406.00,403.00,1156.00,105.00,25.00,388.00,187.00,24.00,56.00,2147.00,0.00,451.00,296.00,118.00,39403.00,12935.00,45276.00,385.00,45.00,114.00,33599.00,36407.00,111.00,3371.00,21.00,33537.00,267.00,36.00,7.00,1264.00,6989.00,2097.00,17.00,10.00,109.00,21.00,455.00,82.00,11872.00,88.00,13617.00,3472.00,4473.00,10889.00,0.00,794.00,133.00,9.00,104.00,887.00,80.00,88.00,900.00,152.00,1396.00,478.00,1962.00,654.00,55.00,1022.00,226.00,924.00,5843.00,142.00,8592.00,0.00,3699.00,0.00,885.00,568.00,909.00,2704.00,0.00,194.00,16.00,193.00,65.00,0.00,63.00,54.00,18.00,0.00,1847.00,2123.00,1593.00,739.00,1133.00,4832.00,3.00,0.00,0.00,166.00,121.00,5126.00,3432.00,1630.00,6716.00,594.00,792.00,7786.00,1841.00,16.00,254.00,41.00,1858.00,621.00,647.00,68.00,132.00,86.00,0.00,170.00,976.00,214.00,10.00,795.00,2878.00,7.00,22.00,500.00,134.00,149.00,118.00,0.00,2037.00,19.00,334.00,866.00,760.00,785.00,1148.00,9003.00,615.00,1409.00,1996.00,757.00,5017.00,907.00,3208.00,1471.00,3.00,6.00,467.00,251.00,2382.00,153.00,319.00,4092.00,343.00,2896.00,255.00,2692.00,2431.00,2844.00,1835.00,585.00,0.00,427.00,4075.00,678.00,2071.00,426.00,251.00,1577.00,57.00,912.00,283.00,0.00,22747.00,2247.00,18.00,147.00,92.00,35.00,10.00,574.00,1.00,3.00,798.00,7.00,0.00,94.00,22.00,123.00,10.00,131.00,6.00,9.00,0.00
1999/00,40.00,7.00,105.00,1286.00,5684.00,131.00,15.00,91.00,0.00,354.00,1091.00,693.00,903.00,20.00,42.00,12.00,489.00,22.00,74.00,16.00,198.00,1053.00,22.00,71.00,63.00,114.00,308.00,209.00,82.00,99.00,3.00,1962.00,494.00,1184.00,130.00,74.00,44.00,563.00,263.00,2127.00,235.00,29.00,426.00,207.00,62.00,73.00,3602.00,0.00,707.00,452.00,176.00,54466.00,7545.00,46872.00,297.00,325.00,201.00,41191.00,29234.00,110.00,3845.00,57.00,42337.00,542.00,126.00,18.00,2411.00,6107.00,1968.00,71.00,65.00,493.00,26.00,527.00,152.00,11300.00,131.00,9074.00,3143.00,4250.00,10983.00,0.00,2266.00,855.00,13.00,342.00,1041.00,166.00,283.00,904.00,447.00,2847.00,812.00,2071.00,941.00,38.00,1066.00,249.00,905.00,6877.00,347.00,9800.00,0.00,2782.00,3.00,1166.00,538.00,1166.00,3286.00,0.00,309.00,11.00,405.00,69.00,258.00,65.00,159.00,17.00,0.00,1751.00,2329.00,2194.00,918.00,2716.00,7025.00,3.00,0.00,0.00,498.00,224.00,4337.00,4994.00,1893.00,10100.00,135.00,1673.00,7990.00,1631.00,63.00,287.00,82.00,1902.00,701.00,584.00,83.00,249.00,139.00,0.00,256.00,922.00,292.00,7.00,1145.00,3762.00,7.00,18.00,390.00,196.00,231.00,209.00,0.00,2762.00,30.00,464.00,821.00,1079.00,1044.00,859.00,10607.00,591.00,1389.00,2978.00,876.00,8600.00,1429.00,6277.00,1939.00,5.00,8.00,496.00,304.00,2785.00,111.00,397.00,5125.00,542.00,1885.00,112.00,3238.00,2074.00,3298.00,1582.00,661.00,209.00,416.00,5156.00,641.00,2539.00,372.00,214.00,1964.00,38.00,1607.00,344.00,0.00,23544.00,2617.00,9.00,214.00,94.00,46.00,30.00,226.00,4.00,12.00,956.00,5.00,0.00,58.00,38.00,189.00,5.00,164.00,4.00,3.00,0.00
2000/01,55.00,8.00,134.00,1205.00,6229.00,261.00,13.00,96.00,0.00,366.00,1528.00,754.00,870.00,18.00,51.00,0.00,411.00,44.00,98.00,13.00,348.00,941.00,38.00,104.00,35.00,115.00,428.00,246.00,86.00,117.00,2.00,2106.00,613.00,1703.00,145.00,112.00,59.00,637.00,386.00,2469.00,237.00,16.00,451.00,439.00,73.00,87.00,3820.00,1.00,732.00,336.00,330.00,59939.00,7627.00,46497.00,372.00,442.00,127.00,45685.00,28566.00,75.00,4114.00,62.00,54664.00,540.00,160.00,13.00,2618.00,6948.00,1964.00,118.00,65.00,418.00,25.00,673.00,187.00,11625.00,96.00,7795.00,3139.00,4166.00,11187.00,0.00,2022.00,1118.00,5.00,366.00,1062.00,253.00,311.00,881.00,477.00,3270.00,782.00,2217.00,1112.00,39.00,1007.00,287.00,893.00,7273.00,329.00,10128.00,4.00,2768.00,5.00,1174.00,558.00,1086.00,3490.00,0.00,383.00,13.00,493.00,73.00,281.00,61.00,183.00,18.00,0.00,1856.00,2098.00,2432.00,884.00,2976.00,6858.00,4.00,0.00,0.00,539.00,207.00,4156.00,4598.00,1850.00,10983.00,105.00,1909.00,8139.00,1790.00,65.00,271.00,85.00,1762.00,647.00,609.00,84.00,243.00,517.00,0.00,258.00,869.00,281.00,10.00,1012.00,4225.00,8.00,10.00,352.00,271.00,267.00,139.00,0.00,2901.00,48.00,489.00,928.00,825.00,1050.00,974.00,10670.00,611.00,1217.00,3172.00,897.00,8846.00,1553.00,6765.00,2028.00,4.00,5.00,409.00,371.00,2660.00,121.00,397.00,5217.00,562.00,1844.00,155.00,3402.00,2187.00,3045.00,2005.00,702.00,237.00,463.00,5273.00,713.00,2659.00,411.00,220.00,2255.00,39.00,1917.00,385.00,2.00,25279.00,2645.00,4.00,250.00,71.00,42.00,37.00,188.00,4.00,7.00,971.00,5.00,1.00,48.00,30.00,118.00,7.00,188.00,2.00,5.00,0.00
2001/02,75.00,8.00,161.00,1133.00,7097.00,263.00,20.00,87.00,0.00,378.00,1814.00,805.00,967.00,12.00,60.00,8.00,422.00,35.00,101.00,7.00,360.00,1004.00,44.00,88.00,39.00,124.00,475.00,251.00,106.00,80.00,20.00,2232.00,819.00,2029.00,153.00,135.00,57.00,707.00,401.00,2672.00,220.00,21.00,471.00,311.00,79.00,139.00,4499.00,1.00,809.00,320.00,382.00,63211.00,7757.00,46810.00,371.00,574.00,113.00,49046.00,28930.00,92.00,3935.00,78.00,66836.00,617.00,230.00,16.00,3019.00,8644.00,2069.00,143.00,71.00,381.00,27.00,875.00,247.00,11614.00,133.00,7395.00,3295.00,4141.00,11606.00,4.00,2531.00,1129.00,8.00,439.00,1079.00,277.00,411.00,884.00,511.00,3584.00,802.00,2027.00,1152.00,11.00,922.00,293.00,819.00,7401.00,345.00,9613.00,1.00,2599.00,1.00,1242.00,891.00,1053.00,3333.00,0.00,434.00,12.00,628.00,61.00,337.00,51.00,269.00,15.00,0.00,1791.00,2323.00,2606.00,946.00,3325.00,6643.00,2.00,0.00,0.00,627.00,225.00,4048.00,4041.00,1680.00,12091.00,79.00,2195.00,8414.00,2027.00,46.00,239.00,64.00,1973.00,580.00,525.00,97.00,211.00,163.00,0.00,232.00,898.00,185.00,8.00,1184.00,4286.00,13.00,6.00,335.00,146.00,269.00,131.00,0.00,2668.00,64.00,542.00,966.00,917.00,1058.00,1007.00,12518.00,608.00,1208.00,3444.00,953.00,8972.00,1655.00,8068.00,2364.00,1.00,6.00,359.00,375.00,3188.00,100.00,468.00,5627.00,601.00,2216.00,147.00,3458.00,2417.00,2966.00,2435.00,623.00,232.00,461.00,5579.00,735.00,2121.00,436.00,196.00,2409.00,42.00,2102.00,458.00,8.00,26514.00,2707.00,4.00,247.00,110.00,35.00,40.00,274.00,2.00,2.00,1046.00,18.00,2.00,45.00,32.00,107.00,8.00,164.00,2.00,6.00,0.00
